id,Chinese,English,Status
3769,褶,"(arch.) court dress, pleat/crease",1
3770,聆,apprehend/hear/listen,1
3771,涎,saliva/shamelessly,1
3772,汞,mercury,1
3773,渍,saturate/soak,1
3774,奂,(surname)/excellent,1
3775,巅,summit,1
3776,疣,nodule/wart,1
3777,傩,exorcise demons,1
3778,逵,crossroads/thoroughfare,1
3779,耆,man of sixty or seventy,1
3780,蟋,cricket,1
3781,鳄,crocodile/alligator,1
3782,讹,error/exhort/false,1
3783,膺,breast/receive,1
3784,蹿,jump up,1
3785,筏,raft (of logs),1
3786,釜,kettle/caldron,1
3787,沂,name of a river,1
3788,坯,unburnt earthenware,1
3789,峦,mountain ranges,1
3790,茬,,1
3791,摒,arrange/drive off/expel,1
3792,蟀,cricket,1
3793,撵,expel,1
3794,浒,bank of a river,1
3795,缤,helter-skelter/mixed colors/in confusion,1
3796,嵋,name of a mountain in Sichuan,1
3797,珑,tinkling of gem-pendants,1
3798,苞,flower calyx/luxuriant/profuse,1
3799,瑾,brilliancy (of gems),1
3800,泵,,1
3801,钾,potassium,1
3802,暧,obscure/clandestine,1
3803,赓,continue (as a song),1
3804,叟,old gentleman,1
3805,佚,(surname)/idle,1
3806,沓,(surname)/again and again/many,1
3807,撂,to leave (it),1
3808,蛊,insanity/poison,1
3809,甥,nephew,1
3810,璐,(jade),1
3811,晏,(surname)/late/quiet,1
3812,瘪,deflated/shriveled/sunken/empty,1
3813,漳,name of a river,1
3814,阉,castrate,1
3815,蹂,trample,1
3816,鳃,gills of fish,1
3817,琏,,1
3818,湃,sound of waves,1
3819,辘,windlass,1
3820,僭,usurp,1
3821,躏,,1
3822,鼾,snore,1
3823,懵,stupid,1
3824,镰,scythe/sickle,1
3825,寐,sleep soundly,1
3826,褚,(surname),1
3827,攥,,1
3828,涧,mountain stream,1
3829,蝙,bat,1
3830,脐,navel,1
3831,辕,shafts of cart/yamen,1
3832,涣,disperse expansive (of river),1
3833,杞,(willow)/name of a feudal state,1
3834,煜,brilliant/glorious,1
3835,骥,thoroughbred horse/refined and virtuous,1
3836,傣,the Dai minority living in South China,1
3837,嗳,"(interj. of disapproval), (interj. of regret)",1
3838,祯,auspicious/lucky,1
3839,酉,10th earthly branch/5-7 p.m.,1
3840,秸,,1
3841,捺,(downwards-right concave character stroke)/press down firmly,1
3842,瑕,blemish/flaw in jade,1
3843,鑫,(used in names),1
3844,馋,gluttonous/greedy,1
3845,窿,cavity/hole,1
3846,楔,to wedge/wedge,1
3847,胱,bladder,1
3848,荔,litchi,1
3849,蟆,"toad, toad",1
3850,湍,to rush (of water),1
3851,屹,high and steep,1
3852,遐,abandon/distant,1
3853,轲,given name of Mencius,1
3854,镯,bracelet,1
3855,缰,,1
3856,桦,Betula japonica,1
3857,炖,"stew slowly, stew",1
3858,钡,barium,1
3859,羚,antelope,1
3860,啬,stingy,1
3861,诩,brag/harmony/make known,1
3862,绯,dark red/purple silk,1
3863,掖,tuck (in),1
3864,箓,,1
3865,涸,to dry/to dry up,1
3866,鸳,mandarin duck,1
3867,塾,private tutorage,1
3868,呸,to spit (in contempt),1
3869,抡,"whirl (one's arm), select",1
3870,擞,shake/trembling,1
3871,熹,bright/warm,1
3872,坷,uneven (path)/unfortunate (in life),1
3873,瓮,earthen jar/urn,1
3874,亘,extend across/through,1
3875,嗟,"sigh, sigh",1
3876,筵,bamboo mat for sitting,1
3877,跛,lame/crippled,1
3878,汕,Swatow,1
3879,欤,(interrog. part.),1
3880,壑,gully,1
3881,颍,,1
3882,溥,extensive/pervading,1
3883,姗,deprecate/lithe (of woman's walk),1
3884,踊,leap,1
3885,枭,brave/owl/strix uralensis,1
3886,暄,genial and warm,1
3887,稷,(millet),1
3888,跚,limp,1
3889,涟,ripple/tearful,1
3890,瀛,ocean,1
3891,笙,(mus. instr.),1
3892,滕,(surname)/place name,1
3893,踝,ankle (bone),1
3894,贰,two (fraud-proof),1
3895,瞰,bird's-eye view/glance,1
3896,恻,sorrowful,1
3897,嚏,sneeze,1
3898,迢,remote,1
3899,獗,unruly/rude,1
3900,邯,name of a district in Hebei,1
3901,睑,eyelid,1
3902,赡,to support/provide for,1
3903,萦,wind around,1
3904,珥,pearl or jade earring,1
3905,酮,ketone,1
3906,璞,unpolished gem,1
3907,羹,soup,1
3908,缄,letters/to close/seal,1
3909,晾,to dry in the air,1
3910,俸,salary,1
3911,媲,to match/to pair,1
3912,鸾,(mythical bird),1
3913,恿,urge/incite,1
3914,蜿,to move (as snake),1
3915,犊,calf/sacrificial victim,1
3916,讷,large/speak cautiously,1
3917,扈,retinue,1
3918,蜈,centipede,1
3919,翟,"long-tail pheasant, (surname)",1
3920,藕,root of lotus,1
3921,戌,11th earthly branch/7-9 p.m.,1
3922,蓓,(flower) bud,1
3923,鋆,,1
3924,谩,"deceive, disrespect/neglect/slight",1
3925,谀,flatter,1
3926,卯,4th earthly branch/5-7 a.m.,1
3927,谙,be versed in/know well,1
3928,岐,divergent/side road/steep,1
3929,蝎,scorpion,1
3930,荼,Sonchus oleraceus,1
3931,镀,,1
3932,椰,,1
3933,甄,(surname)/to mold,1
3934,蟾,moon/(striped) toad,1
3935,蹊,footpath,1
3936,泞,muddy,1
3937,撸,,1
3938,螃,crab,1
3939,檬,lemon,1
3940,猓,,1
3941,蔷,wild rose,1
3942,羲,(surname)/name of an emperor,1
3943,瘸,lame,1
3944,蘸,"to dip in (ink, sauce, etc.)",1
3945,蔗,sugar cane,1
3946,傀,"grand/strange/exotic, puppet",1
3947,蚌,oysters/mussels,1
3948,锢,obstinate disease/restrain/to stop,1
3949,遽,hurry/fast/suddenly,1
3950,邃,deep/distant/mysterious,1
3951,恚,rage,1
3952,皑,"white (of snow, etc.)",1
3953,锵,tinkling of small bells,1
3954,簌,dense vegetation/sieve,1
3955,焙,to dry over a fire/to bake,1
3956,昊,clear summer sky/vast,1
3957,鹳,crane/stork,1
3958,睽,separated/stare,1
3959,刽,"amputate, cut off",1
3960,鳖,turtle,1
3961,噎,choke,1
3962,呗,to chant,1
3963,寰,large domain,1
3964,唷,(exclamatory part.),1
3965,殡,a funeral/to encoffin a corpse/to carry to burial,1
3966,淖,(surname)/slush/mud,1
3967,诰,enjoin/grant (a title),1
3968,恣,throw off restraint,1
3969,睐,gaze/stare,1
3970,婵,beautiful/graceful,1
3971,榈,palm tree,1
3972,氦,helium,1
3973,靳,(surname)/martingale/stingy,1
3974,蛹,chrysalis/pupa,1
3975,鸯,mandarin duck,1
3976,惬,cheerful/satisfied,1
3977,蹙,urgent/wrinkled/contracted/to kick,1
3978,诙,whimsical/humorous,1
3979,眈,gaze intently,1
3980,罡,(stars),1
3981,缮,make a fair copy of,1
3982,胤,heir/inherit,1
3983,皋,bank/marsh,1
3984,蛀,termite/to bore (of insects),1
3985,偌,so/such/to such a degree,1
3986,疵,blemish/flaw/defect,1
3987,绛,purple-red,1
3988,葆,dense foliage/to cover,1
3989,黔,an old name for Guizhou (贵州) province,1
3990,喙,beak/to pant,1
3991,烽,beacon fire,1
3992,儡,injure/puppet,1
3993,佼,handsome,1
3994,斓,variegated/parti-colored,1
3995,嫔,virtuous woman,1
3996,颚,jaw/palate,1
3997,龈,"gnaw/bite, gums",1
3998,盅,cup,1
3999,娓,active/comply with,1
4000,坂,,1
4001,町,raised path between fields,1
4002,芥,mustard,1
4003,瘠,barren/lean,1
4004,阂,obstruct,1
4005,挎,(v) carry on one's arm/(v) carry over one's shoulder or slung on one's side,1
4006,橇,,1
4007,荟,flourish,1
4008,啜,drink/taste/sip/suck,1
4009,垛,"battlement/target, pile",1
4010,淇,name of a river,1
4011,瓒,libation cup,1
4012,篓,deep basket,1
4013,虱,louse,1
4014,跻,go up,1
4015,龛,niche/shrine,1
4016,蹒,limp,1
4017,髯,beard/whiskers,1
4018,瞠,stare at something beyond reach,1
4019,痫,epilepsy/insanity,1
4020,掂,weigh in the hand,1
4021,潼,high/name of a pass,1
4022,酰,(chem.) -acyl/acid radical,1
4023,镁,magnesium,1
4024,灸,cauterize,1
4025,腆,make strong (as liquors)/virtuous,1
4026,筱,dwarf bamboo/thin bamboo,1
4027,谆,repeatedly (in giving advice),1
4028,骋,hasten/run/open up/gallop,1
4029,壬,9th heavenly stem,1
4030,茗,Thea sinensis/young leaves of tea,1
4031,椋,fruit,1
4032,蛔,roundworm/Ascaris lumbricoides,1
4033,潺,flow/trickle (of water),1
4034,扉,door with only one leaf,1
4035,耘,to weed,1
4036,槟,"areca/the areca nut palm, areca",1
4037,雹,hail,1
4038,甬,5 pecks (M)/Ningpo,1
4039,谥,confer such title/posthumous title,1
4040,淞,name of a river,1
4041,燎,singe,1
4042,蕙,Coumarouna odorata,1
4043,蚪,tadpole,1
4044,蜻,dragonfly,1
4045,郸,name of a district in Hebei,1
4046,轶,disperse/put in order/surpass,1
4047,狰,hideous/fierce-looking,1
4048,楣,lintel,1
4049,捋,"stroke (beard), strip (cow, leaves, branch)",1
4050,涓,(surname)/brook/to select,1
4051,荪,fragrant grass,1
4052,娄,(star)/(surname),1
4053,麝,musk deer,1
4054,蚤,flea,1
4055,薰,Coumarouna odorata,1
4056,醮,perform sacrifice,1
4057,搪,keep out,1
4058,谧,quiet,1
4059,湮,"obscured/submerged, obscured/submerged",1
4060,辍,stop/cease/suspend,1
4061,瞌,doze off/sleepy,1
4062,梆,watchman's rattle,1
4063,樟,camphor/Cinnamonum camphara,1
4064,茉,jasmine,1
4065,岖,rugged,1
4066,臼,mortar,1
4067,癣,ringworm,1
4068,穑,gather in harvest,1
4069,玷,blemish/disgrace/flaw in jade,1
4070,馍,small loaf of steamed bread,1
4071,呷,"suck, swallow, drink",1
4072,萼,stem and calyx of flower,1
4073,妩,flatter/to please,1
4074,伫,wait/look towards/turn one's back on,1
4075,彤,(surname)/red,1
4076,莓,strawberry,1
4077,岬,cape (geog.),1
4078,媛,"a beauty, a beauty",1
4079,惆,forlorn/vexed/disappointed,1
4080,鳎,,1
4081,啾,wailing of child/chirp,1
4082,囔,"muttering, indistinct speech",1
4083,蜓,dragonfly,1
4084,孺,(surname)/child,1
4085,徇,"buried with dead/die for a cause, follow/quick",1
4086,徵,"levy (troops or taxes), note in Chinese musical scale",1
4087,焊,"welding, to solder/weld by heat",1
4088,岱,name of a mountain in Shandong,1
4089,昵,familiar/to approach,1
4090,卅,thirty,1
4091,飙,whirlwind,1
4092,邙,name of a hill,1
4093,痞,swelling of the liver,1
4094,隼,,1
4095,恫,frighten,1
4096,怆,mournful/sad/grieved/sorry,1
4097,桀,(emperor of Xia dynasty)/cruel,1
4098,绶,cord on a seal,1
4099,裆,crotch/seat of a pair of trousers,1
4100,盂,container/cup,1
4101,桧,Juniperus chinensis,1
4102,蚓,earthworm,1
4103,抠,dig out (with finger)/stingy,1
4104,嗷,loud clamor/the sound of wailing,1
4105,槌,hammer/mallet/pestle,1
4106,痘,small pox,1
4107,痢,dysentery,1
4108,芮,(surname)/small,1
4109,蚣,scolopendra centipede,1
4110,闩,to bolt,1
4111,铿,jingling of metals/to strike,1
4112,飓,hurricane,1
4113,疱,,1
4114,蝌,tadpole,1
4115,撅,break off/stick up (as a tail),1
4116,蚯,earthworm,1
4117,斡,to turn,1
4118,窠,nest,1
4119,荚,pod,1
4120,耷,,1
4121,砚,ink-stone,1
4122,牒,(official) document/dispatch,1
4123,赈,to relieve (the distressed),1
4124,煦,,1
4125,嗫,move the mouth as in speaking,1
4126,耙,"a rake/harrow, a rake",1
4127,榕,banyan tree/Ficus wightiana,1
4128,鞑,Tartar/a tribe in China,1
4129,袤,length/distance from north to south,1
4130,谌,(surname)/faithful/sincere,1
4131,醺,helplessly intoxicated,1
4132,秆,stalks of grain,1
4133,徨,irresolute,1
4134,橹,sculling oar,1
4135,翡,green jade/kingfisher,1
4136,缨,tassel of hat,1
4137,锹,shovel/to dig,1
4138,嵇,(surname)/name of a mountain,1
4139,圪,(phonetic),1
4140,髻,,1
4141,嗬,,1
4142,辎,milit. supply,1
4143,痣,birthmark/mole,1
4144,娩,"give birth to a child, complaisant/agreeable",1
4145,谄,flatter/cajole,1
4146,蛐,cricket,1
4147,鹞,sparrow hawk/Accipiter nisus,1
4148,翱,soar/hover,1
4149,庖,kitchen,1
4150,籁,music/musical pipe with 3 reeds,1
4151,蓿,,1
4152,鳗,eel/Anguilla lostoniensis,1
4153,疟,"malaria, malaria",1
4154,鲇,,1
4155,這,,1
4156,嚅,chattering,1
4157,瘀,hematoma/contusion/extravasted,1
4158,颔,chin/nod assent,1
4159,黜,dismiss/expel,1
4160,黠,(phonetic)/crafty,1
4161,濑,name of a river/rushing of water,1
4162,馁,hungry,1
4163,洵,truly/whirlpool,1
4164,忐,nervous,1
4165,忑,nervous,1
4166,砥,baffle (pier)/whetstone,1
4167,咂,smack one's lips,1
4168,罹,happen to/sorrow/suffer from,1
4169,糠,husk,1
4170,匝,go round,1
4171,偃,(surname)/to lie supine/to stop/to fall down,1
4172,淙,noise of water,1
4173,纫,to string/to thread (needle),1
4174,喏,to salute/make one's curtsy,1
4175,闾,gate of a village/village,1
4176,祛,to exercise,1
4177,蛰,"hibernate, hibernate",1
4178,腼,,1
4179,涝,flooded,1
4180,曜,dazzle/glorious,1
4181,厩,a stable,1
4182,疽,gangrene,1
4183,闰,intercalary,1
4184,洄,eddy/whirlpool,1
4185,煊,,1
4186,汐,,1
4187,藓,mosses on damp walls,1
4188,璜,semi-circular jade ornament,1
4189,铬,chromium,1
4190,經,,1
4191,渥,enrich/moisten,1
4192,靼,(phonetic)/dressed leather,1
4193,酗,drunk,1
4194,苓,fungus/tuber,1
4195,噤,unable to speak/silent,1
4196,咫,8 in. length unit of Zhou dynasty,1
4197,椿,"Cedrela chinensis/father, tree of heaven",1
4198,鲫,bastard carp/sand perch,1
4199,锭,ingot,1
4200,罔,deceive/there is none,1
4201,锺,(ancient measure)/(surname),1
4202,匍,crawl/lie prostrate,1
4203,祗,respectful (ly),1
4204,锰,manganese,1
4205,岌,lofty peak/perilous,1
4206,馀,remainder,1
4207,畹,a field of 20 or 30 mu,1
4208,糯,glutinous rice,1
4209,胫,lower part of leg,1
4210,熠,to glow/flash,1
4211,銮,imperial,1
4212,沅,name of a river,1
4213,棣,Kerria japonica,1
4214,旌,banner/make manifest,1
4215,豌,peas,1
4216,孢,spore,1
4217,镭,radium,1
4218,驸,prince consort,1
4219,腌,to salt/pickle,1
4220,盹,doze/nap,1
4221,熵,entropy,1
4222,镐,"a pick, bright/place name/stove",1
4223,馐,delicacies,1
4224,嘤,calling of birds,1
4225,癞,scabies/skin disease,1
4226,骰,cuboid bone/dice,1
4227,韭,leek,1
4228,阖,"council-chamber/shelf/side door, entire (family)",1
4229,瞑,close the eyes,1
4230,裨,"to benefit/to aid/advantageous/profitable, (surname)/assistant/small",1
4231,宕,dissipated/put off,1
4232,戾,do violence/go against,1
4233,镌,degrade/engrave (wood or stone),1
4234,溟,drizzle/sea,1
4235,牍,documents,1
4236,隽,smart/eminent/talented,1
4237,婊,prostitute,1
4238,鹄,swan/white-haired,1
4239,埂,channel for irrigation,1
4240,拄,post/prop,1
4241,娲,(surname)/sister of Fu2 Xi1,1
4242,虬,young dragon with horns,1
4243,萱,Hemerocallis flava,1
4244,啵,,1
4245,蠡,"calabash, wood-boring insect",1
4246,芋,Colocasia antiquorum,1
4247,胭,rouge,1
4248,豺,ravenous beast/wolves (collect.),1
4249,啻,(not) just/(not) only,1
4250,褛,soiled/tattered,1
4251,蛆,maggot,1
4252,柠,lemon,1
4253,掰,to break with both hands,1
4254,篆,seal characters,1
4255,倌,a groom,1
4256,咛,enjoin,1
4257,蛭,fluke/leech/hirudinea,1
4258,谡,composed/rise/to begin,1
4259,荨,,1
4260,莞,"Skimmia japonica, (district), smile",1
4261,澹,"tranquil/placid/quiet, (surname)",1
4262,纭,confused/numerous,1
4263,潞,(surname)/name of a river,1
4264,郅,(surname)/extremely,1
4265,弋,to shoot,1
4266,飕,blow (as of wind)/sound of wind,1
4267,螳,praying mantis,1
4268,胄,"helmet, descendants",1
4269,蟑,cockroach,1
4270,猥,humble/rustic/plentiful,1
4271,宓,(surname)/still/silent,1
4272,昙,dark clouds,1
4273,锏,,1
4274,蟠,Trichina spiralis/to coil,1
4275,過,,1
4276,柑,large tangerine,1
4277,烯,alkene,1
4278,匐,fall prostrate,1
4279,濮,name of a river,1
4280,蟮,,1
4281,祐,,1
4282,仄,oblique tone,1
4283,偈,"Buddhist hymn/gatha/Buddhist verse, forceful/martial",1
4284,蜃,(mythical animal)/clam/sea-serpent,1
4285,箴,warn,1
4286,粼,clear (as of water),1
4287,嗥,howl/bawl/to bark/roar,1
4288,褴,ragged garments,1
4289,蕨,Pteridium aquilinum,1
4290,蓟,cirsium/thistle,1
4291,圩,dike,1
4292,孪,twins,1
4293,杳,dark and quiet/disappear,1
4294,魇,nightmare,1
4295,荤,meat dish,1
4296,诿,shirk/give excuses,1
4297,簪,hairpin,1
4298,氲,heavy atmosphere,1
4299,摞,pile up,1
4300,飒,declining/sound of wind,1
4301,镂,engrave/hard steel,1
4302,舀,to scoop,1
4303,夙,morning,1
4304,臧,(surname)/good/lucky,1
4305,蒿,wormwood,1
4306,貂,sable/marten,1
4307,蜥,chameleon/Eumeces latiscutatus,1
4308,蹩,limp,1
4309,噼,,1
4310,钛,titanium,1
4311,钚,,1
4312,獾,badger,1
4313,濂,name of a river in Hunan,1
4314,铠,armor,1
4315,皙,white,1
4316,霭,cloudy sky/friendly,1
4317,鲈,common perch,1
4318,叵,not/thereupon,1
4319,霾,dust-storm,1
4320,泯,obliterate/submerge,1
4321,碴,fault/glass fragment/quarrel,1
4322,鸵,ostrich,1
4323,峪,valley,1
4324,饕,gluttonous,1
4325,瘁,care-worn/distressed/tired/overworked/sick/weary,1
4326,睢,(surname)/stare,1
4327,鬃,bristles/horse's mane,1
4328,迩,near,1
4329,纣,name of an emperor/saddle crupper,1
4330,夔,one-legged monster/respectful,1
4331,垠,bank,1
4332,饨,Chinese ravioli,1
4333,榭,pavilion,1
4334,隍,dry moat/god of city,1
4335,娑,(phonetic)/loose,1
4336,篝,bamboo frame for drying clothes,1
4337,榔,(tree),1
4338,洌,pure/cleanse,1
4339,浜,stream/creek,1
4340,鲑,,1
4341,谔,honest speech,1
4342,汩,confused/extinguished,1
4343,浣,to wash/to rinse/10 day period in the month (during Tang dynasty),1
4344,舐,to lick/lap,1
4345,瞭,,1
4346,忻,happy,1
4347,咻,call out/jeer,1
4348,鹑,quail,1
4349,唑,(phonetic)/-z + ole (chem.),1
4350,懋,be great/exert the mind,1
4351,皎,bright/white,1
4352,诒,a present in writing/bequeath,1
4353,麾,signal flag/to signal,1
4354,辏,converge/hub of wheel,1
4355,氐,"name of an ancient tribe, foundation/on the whole",1
4356,冽,cold and raw,1
4357,箕,winnow basket,1
4358,俚,rustic,1
4359,汴,name of a river in Henan/Henan,1
4360,宸,imperial apartments,1
4361,芍,Paeonia albiflora,1
4362,捱,dawdle/suffer,1
4363,摈,reject/expel/discard/exclude/renounce,1
4364,摺,folded document/to fold,1
4365,簦,large umbrella for stalls,1
4366,箔,bamboo screen/door screen/metal foil/leaf/sheet/tinsel,1
4367,咝,,1
4368,孀,widow,1
4369,怏,discontented,1
4370,谝,brag,1
4371,砧,anvil,1
4372,馕,,1
4373,耄,aged,1
4374,罂,earthen jar with small mouth,1
4375,漕,transport by water/watercourse/canal,1
4376,沣,name of a river,1
4377,栾,Koelreuteria paniculata,1
4378,榘,,1
4379,烷,alkane,1
4380,榷,"footbridge/toll, levy/monopoly",1
4381,俑,wooden figures buried with the dead,1
4382,沱,tearful/to branch (of river),1
4383,缜,fine and close,1
4384,鹫,black eagle/condor/cruel,1
4385,蛳,snail,1
4386,剽,to rob/swift/nimble,1
4387,衢,thoroughfare,1
4388,泗,place name/snivel,1
4389,臊,"smell of urine, bashfulness",1
4390,瘴,malaria/miasma,1
4391,酚,phenol,1
4392,纾,slow/to free from,1
4393,晁,(surname),1
4394,孛,comet,1
4395,炀,molten/smelt,1
4396,叁,,1
4397,憩,to rest,1
4398,掬,,1
4399,椤,,1
4400,啮,gnaw,1
4401,畿,territory around the capital,1
4402,掸,brush away/dust off/a brush or duster/to dust,1
4403,镣,,1
4404,骁,brave/good horse/strong,1
4405,椽,beam/rafters,1
4406,侗,"(ethnic group), ignorant",1
4407,滦,name of a river,1
4408,荩,Arthraxon ciliare/loyal,1
4409,泓,clear/vast and deep,1
4410,蚱,grasshopper,1
4411,癜,erythema/leucoderm,1
4412,酯,ester,1
4413,體,,1
4414,癸,10th heavenly stem,1
4415,蚜,aphis,1
4416,扪,lay hands on/to cover,1
4417,庑,veranda,1
4418,歆,pleased/moved,1
4419,蝮,venomous snake,1
4420,蹶,stumble/trample/to kick (as a horse),1
4421,弈,Chinese chess game,1
4422,庋,a cupboard or pantry to store,1
4423,喟,to sigh,1
4424,滂,rushing (water),1
4425,啕,wail,1
4426,蛎,oyster,1
4427,獭,otter,1
4428,槁,dry/rotten (as wood),1
4429,翊,assist/ready to fly/respect,1
4430,龊,dirty/small-minded,1
4431,邺,(surname)/name of ancient district,1
4432,莘,"long/numerous, Asarum sieboldi",1
4433,燮,(surname)/harmony/harmonize,1
4434,剁,chop (meat),1
4435,觐,,1
4436,铛,"frying pan/griddle, clank/clang/sound of metal",1
4437,谗,slander/defame/misrepresent/to speak maliciously,1
4438,镍,nickel,1
4439,臃,,1
4440,墒,,1
4441,晔,bright light/to sparkle,1
4442,燔,burn/to roast meat for sacrifice,1
4443,嘭,,1
4444,涿,place name,1
4445,醯,acyl,1
4446,箩,basket,1
4447,鄱,name of a lake,1
4448,睨,look askance,1
4449,诤,,1
4450,坳,a depression/cavity/hollow,1
4451,鹭,heron,1
4452,砷,arsenic,1
4453,唏,sound of sobbing,1
4454,伲,,1
4455,猬,,1
4456,琥,amber,1
4457,殁,to end/to die,1
4458,蚩,(surname)/ignorant/worm,1
4459,泾,name of a river,1
4460,缥,misty/indistinct,1
4461,殓,prepare body for coffin,1
4462,鳅,loach,1
4463,氰,,1
4464,诋,defame/to slander,1
4465,刍,(surname)/cut grass/hay/straw/fodder,1
4466,芷,(plant root used for medicine),1
4467,嶙,ranges of hills,1
4468,逅,meet unexpectedly,1
4469,舫,2 boats lashed together/large boat,1
4470,呓,talk in sleep,1
4471,唰,,1
4472,茁,increase/sprout,1
4473,馑,time of famine or crop failure,1
4474,妫,(surname)/name of a river,1
4475,骧,prance (as a horse),1
4476,苷,,1
4477,擢,pull out/select,1
4478,峋,ranges of hills,1
4479,袂,sleeve of a robe,1
4480,懑,melancholy,1
4481,蓑,,1
4482,與,,1
4483,涞,brook/ripple,1
4484,祉,felicity,1
4485,踹,kick/trample,1
4486,掇,,1
4487,沏,to steep (tea),1
4488,诳,deceive/lies,1
